1,TT,PadangBerkah,makanan,nasi telur balado,8000
2,TT,PadangBerkah,makanan,nasi telur dadar 8000
3,TT,PadangBerkah,makanan,nasi rendang 12000
4,TT,PadangBerkah,makanan,nasi lele 10000
5,TT,PadangBerkah,makanan,nasi tongkol 10000
6,TT,PadangBerkah,makanan,nasi bandeng 10000
7,TT,PadangBerkah,makanan,nasi berkedel 8000
8,TT,PadangBerkah,makanan,nasi ayam goreng 10000
9,TT,PadangBerkah,makanan,nasi gulai ayam 10000
10,TT,PadangBerkah,makanan,nasi sayur 5000
11,TT,PadangBerkah,makanan,nasi putih 2000
12,TT,PadangBerkah,minuman,teh manis 5000
13,TT,PadangBerkah,minuman,jeruk anget 4000
14,TT,PadangBerkah,minuman, es teh 3000
15,TT,PadangBerkah,minuman, es jeruk 4000
16,TT,PadangBerkah,minuman, air es 1000
17,TT,PadangBerkah,minuman,teh tawar 1000

DC,KantinNeo01,makanan,nasi goreng,10000
DC,KantinNeo01,makanan,nasi ayam geprek,12000
DC,KantinNeo01,makanan,nasi rames,7000
DC,KantinNeo01,makanan,nasi pecel,10000
DC,KantinNeo01,makanan,nasi magelangan,10000
DC,KantinNeo01,minuman,esteh,3000
DC,KantinNeo01,minuman,pop ice,4000
DC,KantinNeo01,minuman,beng beng drink,5000
DC,KantinNeo01,minuman,good day,4000
DC,KantinNeo01,minuman,kopi hitam,3000

TT,Bakso&MieAyamKampus,makanan,bakso biasa,10000
TT,Bakso&MieAyamKampus,makanan,bakso telur,15000
TT,Bakso&MieAyamKampus,makanan,bakso urat,15000
TT,Bakso&MieAyamKampus,makanan,mie ayam biasa,10000
TT,Bakso&MieAyamKampus,makanan,mie ayam bakso,15000

DC,NEO,Makanan,Nasi Ayam Goreng,10000
DC,NEO,Makanan,Nasi Ayam Penyet,10000
DC,NEO,Makanan,Nasi Uduk,10000
DC,NEO,Makanan,Indomie Ori kuah/goreng,6000
DC,NEO,Makanan,Indomie telor kuah/goreng,10000
DC,NEO,Makanan,Nasi Rames,5000
DC,NEO,Minuman,Es teh,3000
DC,NEO,Minuman,Air Mineral,4000
DC,NEO,Minuman,Es Milo,4000
DC,NEO,Minuman,Es Susu Coklat,4000
DC,NEO,Minuman,Es Susu Putih,4000


TT,Angkringan Kampus,Makanan,Nasi Teri,3000
TT,Angkringan Kampus,Makanan,Nasi Suwir Ayam,9000
TT,Angkringan Kampus,Makanan,Sate Usus,2500
TT,Angkringan Kampus,Makanan,Sate Kulit,2500
TT,Angkringan Kampus,Makanan,Indomie Polos,8000
TT,Angkringan Kampus,Makana,Indomie Telor,9000
TT,Angkringan Kampus,Minuman,Es Cocolatos,4000
TT,Angkringan Kampus,Minuman,Es Nutrisari,4000
TT,Angkringan Kampus,Minuman,Energen,4000
TT,Angkringan Kampus,Minuman, Es Beng Beng Drink,4000
TT,Bakso&MieAyamKampus,minuman,teh,3000
TT,Bakso&MieAyamKampus,minuman,jeruk,4000
TT,Bakso&MieAyamKampus,minuman,kopi,3000
TT,Bakso&MieAyamKampus,minuman,susu,4000
TT,Bakso&MieAyamKampus,minuman,nutrisari,3000
